City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Seoul,KR,37.57,126.98,42.8,87,40,5.39,mist,0.0,0.0
1,Avarua,CK,-21.21,-159.78,69.8,83,100,1.12,overcast clouds,0.0,0.0
2,Bengkulu,ID,-3.8,102.27,78.15,84,100,2.48,very heavy rain,0.0,0.0
3,Broken Hill,AU,-31.95,141.43,69.8,37,7,5.82,clear sky,22.4944,0.0
4,Mataura,NZ,-46.19,168.86,54.0,97,98,4.0,overcast clouds,0.0,0.0
5,Veraval,IN,20.9,70.37,74.43,55,0,5.35,clear sky,0.0,0.0
6,Yinchuan,CN,38.47,106.27,23.49,73,0,3.09,clear sky,0.0,0.0
7,Georgetown,MY,5.41,100.34,82.4,74,20,6.93,few clouds,0.0,0.0
8,Qaanaaq,GL,77.48,-69.36,10.08,90,100,6.02,overcast clouds,0.0,0.0
9,Ushuaia,AR,-54.8,-68.3,50.0,81,75,13.87,light rain,0.0,0.0
10,Ponta Do Sol,PT,32.67,-17.1,68.0,72,40,9.17,scattered clouds,0.4,0.0
11,Sabang,ID,5.89,95.32,80.87,78,100,14.03,overcast clouds,0.0,0.0
12,Kavieng,PG,-2.57,150.8,83.35,72,100,3.58,overcast clouds,0.0,0.0
13,Man,CI,7.41,-7.55,91.9,19,17,3.56,few clouds,0.0,0.0
14,Tuktoyaktuk,CA,69.45,-133.04,-5.93,88,100,21.32,overcast clouds,0.0,0.0
15,Tres Arroyos,AR,-38.37,-60.28,88.02,21,0,20.6,clear sky,0.0,0.0
16,Cieza,ES,38.24,-1.42,66.99,52,0,1.12,clear sky,0.0,0.0
17,Pevek,RU,69.7,170.31,-3.95,89,100,8.08,light snow,0.0,0.0
18,Kingston,JM,18.0,-76.79,79.0,74,20,8.05,few clouds,0.0,0.11
19,Killybegs,IE,54.63,-8.45,46.4,87,40,18.34,scattered clouds,0.0,0.0
20,Busselton,AU,-33.65,115.33,80.01,38,0,9.84,clear sky,0.0,0.0
21,Rikitea,PF,-23.12,-134.97,75.51,73,0,5.21,moderate rain,0.0,0.0
22,Lebu,CL,-37.62,-73.65,58.46,75,0,17.0,clear sky,1.65,0.0
23,Hobart,AU,-42.88,147.33,55.4,58,90,11.41,overcast clouds,0.0,0.0
24,Husavik,IS,66.04,-17.34,14.0,85,0,4.7,clear sky,0.0,0.0
25,Goderich,CA,43.75,-81.72,37.4,74,100,14.99,overcast clouds,0.0,0.0
26,Khatanga,RU,71.97,102.5,-25.8,86,42,7.67,scattered clouds,0.0,0.0
27,Thompson,CA,55.74,-97.86,-23.8,74,90,4.7,light snow,0.0,0.0
28,Puerto Ayora,EC,-0.74,-90.35,72.0,92,8,4.0,clear sky,0.0,0.0
29,Romitan,UZ,39.93,64.38,41.0,75,90,4.7,overcast clouds,0.0,0.0
30,Chokurdakh,RU,70.63,147.92,-19.19,88,100,8.63,overcast clouds,0.0,0.0
31,Burdur,TR,37.72,30.29,44.6,52,20,14.99,few clouds,0.0,0.0
32,Paamiut,GL,61.99,-49.67,37.33,85,100,47.07,light rain,0.0,0.0
33,Atuona,PF,-9.8,-139.03,78.46,75,40,14.85,scattered clouds,0.68,0.0
34,Saint-Pierre,RE,-21.34,55.48,82.0,69,0,31.09,clear sky,0.0,0.0
35,San Lawrenz,MT,36.06,14.2,62.6,72,20,9.17,few clouds,0.0,0.0
36,Ponta Delgada,PT,37.73,-25.67,57.2,58,40,21.92,scattered clouds,0.0,0.0
37,Cape Town,ZA,-33.93,18.42,72.0,60,75,19.46,broken clouds,0.0,0.0
38,Lavrentiya,RU,65.58,-171.0,29.03,98,100,17.83,light snow,0.0,0.0
39,Cabo San Lucas,MX,22.89,-109.91,60.8,72,5,11.41,clear sky,0.0,0.0
40,Yellowknife,CA,62.46,-114.35,-13.0,75,20,13.87,few clouds,0.0,0.0
41,Sorland,NO,67.67,12.69,37.4,86,75,4.7,broken clouds,0.0,0.0
42,Beringovskiy,RU,63.05,179.32,-14.15,86,100,10.69,overcast clouds,0.0,0.0
43,Dikson,RU,73.51,80.55,-20.56,88,72,8.63,broken clouds,0.0,0.0
44,Nikolskoye,RU,59.7,30.79,28.4,92,90,11.18,light shower snow,0.0,0.0
45,Road Town,VG,18.42,-64.62,79.0,78,75,8.05,broken clouds,0.0,1.0
46,Virginia Beach,US,36.85,-75.98,33.8,74,40,3.36,scattered clouds,0.0,0.0
47,Ust-Kuyga,RU,70.02,135.6,-42.3,79,99,3.09,overcast clouds,0.0,0.0
48,Souillac,MU,-20.52,57.52,78.8,88,40,14.99,shower rain,0.0,0.0
49,Mattru,SL,7.62,-11.83,92.61,45,7,2.01,clear sky,0.0,0.0
50,Saint-Philippe,RE,-21.36,55.77,82.0,69,0,31.09,clear sky,0.0,0.0
51,East London,ZA,-33.02,27.91,78.8,61,20,19.46,few clouds,0.0,0.0
52,Hilo,US,19.73,-155.09,69.8,83,20,5.82,few clouds,0.0,0.0
53,Akdagmadeni,TR,39.66,35.88,30.52,84,56,8.03,broken clouds,0.0,0.0
54,Puerto Del Rosario,ES,28.5,-13.86,69.8,49,0,19.46,clear sky,0.0,0.0
55,Punta Arenas,CL,-53.15,-70.92,57.2,47,0,26.4,clear sky,0.0,0.0
56,Victoria,HK,22.29,114.16,66.99,83,27,6.29,scattered clouds,0.0,0.0
57,Albany,US,42.6,-73.97,24.01,79,20,3.76,few clouds,0.0,0.0
58,Nioro,GM,13.35,-15.75,92.44,11,100,8.3,overcast clouds,0.0,0.0
59,Saskylakh,RU,71.92,114.08,-23.4,86,100,5.14,overcast clouds,0.0,0.0
60,Korla,CN,41.76,86.15,20.82,88,41,1.7,scattered clouds,0.0,0.0
61,Shingu,JP,33.73,135.98,41.49,73,0,6.51,clear sky,0.0,0.0
62,Nagato,JP,34.38,131.2,48.2,70,0,8.05,clear sky,0.0,0.0
63,Ilo,PE,-17.64,-71.34,69.8,77,40,4.7,scattered clouds,0.0,0.0
64,Butaritari,KI,3.07,172.79,81.19,78,71,18.25,broken clouds,0.0,0.0
65,Ahuimanu,US,21.44,-157.84,71.6,83,1,4.23,clear sky,0.0,0.0
66,Okitipupa,NG,6.5,4.78,88.41,62,67,3.53,light rain,0.0,0.0
67,Quatre Cocos,MU,-20.21,57.76,81.0,88,40,14.99,shower rain,0.32,0.0
68,Saint Anthony,US,45.02,-93.22,45.0,70,90,4.7,overcast clouds,0.0,0.0
69,Araouane,ML,18.9,-3.53,76.26,19,0,13.53,clear sky,0.0,0.0
70,Peniche,PT,39.36,-9.38,59.0,92,100,5.99,overcast clouds,0.0,0.0
71,Airai,TL,-8.93,125.41,60.75,100,100,1.79,overcast clouds,0.0,0.0
72,Hofn,IS,64.25,-15.21,26.6,49,0,13.87,clear sky,0.0,0.0
73,Qianguo,CN,45.12,124.86,9.73,96,87,8.43,overcast clouds,0.0,0.0
74,Barrow,US,71.29,-156.79,-7.6,76,1,20.8,clear sky,0.0,0.0
75,Meulaboh,ID,4.14,96.13,79.45,82,100,2.59,overcast clouds,0.0,0.0
76,Hami,CN,42.8,93.45,15.71,80,0,1.59,clear sky,0.0,0.0
77,Bluff,NZ,-46.6,168.33,54.0,97,89,4.0,overcast clouds,0.0,0.0
78,Porto Walter,BR,-8.27,-72.74,75.4,79,100,1.16,overcast clouds,0.0,0.0
79,Bredasdorp,ZA,-34.53,20.04,78.8,41,0,29.97,clear sky,0.0,0.0
80,Hermanus,ZA,-34.42,19.23,73.99,63,16,11.99,few clouds,0.0,0.0
81,Ribeira Grande,PT,38.52,-28.7,59.0,54,40,19.46,scattered clouds,0.0,0.0
82,Rawson,AR,-43.3,-65.1,71.17,30,66,13.69,broken clouds,0.0,0.0
83,Leningradskiy,RU,69.38,178.42,0.14,92,100,10.67,light snow,0.0,0.0
84,Kindu,CD,-2.95,25.95,89.87,47,53,2.26,broken clouds,0.0,0.39
85,Tiksi,RU,71.69,128.87,-17.0,89,100,8.05,overcast clouds,0.0,0.0
