City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nabire,ID,2020-12-20 15:36:34,-3.37,135.48,75.97,91,100,4.74
1,East London,ZA,2020-12-20 15:33:25,-33.02,27.91,75.2,83,75,11.41
2,Busselton,AU,2020-12-20 15:33:31,-33.65,115.33,57.0,78,0,1.01
3,Esperance,AU,2020-12-20 15:36:34,-33.87,121.9,57.2,76,1,4.7
4,Mataura,NZ,2020-12-20 15:36:35,-46.19,168.86,46.0,92,100,1.01
5,Coos Bay,US,2020-12-20 15:36:35,43.37,-124.22,55.99,100,90,12.75
6,Cedeno,CO,2020-12-20 15:36:35,7.05,-72.16,83.77,45,74,5.14
7,Pevek,RU,2020-12-20 15:36:35,69.7,170.31,-7.11,91,0,1.61
8,Maunabo,PR,2020-12-20 15:36:35,18.01,-65.9,82.0,100,7,5.01
9,Butaritari,KI,2020-12-20 15:36:35,3.07,172.79,80.58,84,56,18.39
10,Camana,PE,2020-12-20 15:36:35,-16.62,-72.71,72.19,68,66,8.99
11,Torbay,CA,2020-12-20 15:36:35,47.67,-52.73,28.0,85,90,10.29
12,Port Alfred,ZA,2020-12-20 15:36:36,-33.59,26.89,73.99,87,62,4.0
13,Tshela,CD,2020-12-20 15:36:36,-4.98,12.93,78.37,90,91,2.68
14,Pahrump,US,2020-12-20 15:36:05,36.21,-115.98,39.99,46,1,4.7
15,Vaini,TO,2020-12-20 15:36:36,-21.2,-175.2,78.48,86,0,16.91
16,Khatanga,RU,2020-12-20 15:36:36,71.97,102.5,-33.38,84,91,2.68
17,Avarua,CK,2020-12-20 15:36:36,-21.21,-159.78,69.8,94,100,1.12
18,North Bend,US,2020-12-20 15:32:34,43.41,-124.22,57.0,100,90,12.75
19,Sistranda,NO,2020-12-20 15:36:37,63.73,8.83,46.4,68,0,18.34
20,Gelibolu,TR,2020-12-20 15:36:37,40.41,26.67,50.0,81,75,10.29
21,Hermanus,ZA,2020-12-20 15:36:37,-34.42,19.23,79.0,60,1,8.01
22,Saint-Philippe,RE,2020-12-20 15:36:37,-21.36,55.77,79.0,78,43,18.34
23,Rio Gallegos,AR,2020-12-20 15:36:37,-51.62,-69.22,73.4,31,75,19.46
24,Chuy,UY,2020-12-20 15:36:37,-33.7,-53.46,73.76,44,0,15.73
25,Puerto Ayora,EC,2020-12-20 15:36:37,-0.74,-90.35,75.2,78,90,11.41
