City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
1,1,Avarua,CK,-21.21,-159.78,69.8,83,100,1.12,overcast clouds,0.0,0.0,Paradise Inn
2,2,Bengkulu,ID,-3.8,102.27,78.15,84,100,2.48,very heavy rain,0.0,0.0,Grage Hotel Bengkulu
5,5,Veraval,IN,20.9,70.37,74.43,55,0,5.35,clear sky,0.0,0.0,Lords Inn Somnath
16,16,Cieza,ES,38.24,-1.42,66.99,52,0,1.12,clear sky,0.0,0.0,Hotel San Sebastián Hospedería
21,21,Rikitea,PF,-23.12,-134.97,75.51,73,0,5.21,moderate rain,0.0,0.0,Pension Maro'i
28,28,Puerto Ayora,EC,-0.74,-90.35,72.0,92,8,4.0,clear sky,0.0,0.0,Finch Bay Galapagos Hotel
35,35,San Lawrenz,MT,36.06,14.2,62.6,72,20,9.17,few clouds,0.0,0.0,San Andrea Hotel
37,37,Cape Town,ZA,-33.93,18.42,72.0,60,75,19.46,broken clouds,0.0,0.0,Southern Sun Waterfront Cape Town
39,39,Cabo San Lucas,MX,22.89,-109.91,60.8,72,5,11.41,clear sky,0.0,0.0,Hotel Tesoro Los Cabos
48,48,Souillac,MU,-20.52,57.52,78.8,88,40,14.99,shower rain,0.0,0.0,Bils' Villa
51,51,East London,ZA,-33.02,27.91,78.8,61,20,19.46,few clouds,0.0,0.0,Tu Casa
52,52,Hilo,US,19.73,-155.09,69.8,83,20,5.82,few clouds,0.0,0.0,Hilo Hawaiian Hotel
54,54,Puerto Del Rosario,ES,28.5,-13.86,69.8,49,0,19.46,clear sky,0.0,0.0,Hotel JM Puerto del Rosario
56,56,Victoria,HK,22.29,114.16,66.99,83,27,6.29,scattered clouds,0.0,0.0,Mini Hotel Central
63,63,Ilo,PE,-17.64,-71.34,69.8,77,40,4.7,scattered clouds,0.0,0.0,Torreblanca Hotel
65,65,Ahuimanu,US,21.44,-157.84,71.6,83,1,4.23,clear sky,0.0,0.0,Paradise Bay Resort
69,69,Araouane,ML,18.9,-3.53,76.26,19,0,13.53,clear sky,0.0,0.0,
71,71,Airai,TL,-8.93,125.41,60.75,100,100,1.79,overcast clouds,0.0,0.0,Juvinal Martin
75,75,Meulaboh,ID,4.14,96.13,79.45,82,100,2.59,overcast clouds,0.0,0.0,Kost Pria
78,78,Porto Walter,BR,-8.27,-72.74,75.4,79,100,1.16,overcast clouds,0.0,0.0,Hotel Silva
79,79,Bredasdorp,ZA,-34.53,20.04,78.8,41,0,29.97,clear sky,0.0,0.0,Bredasdorp Country Manor
80,80,Hermanus,ZA,-34.42,19.23,73.99,63,16,11.99,few clouds,0.0,0.0,Misty Waves Boutique Hotel
